0,1,2,3,4,5,6
LagunaDeCatemaco,B11,2018,12,22,0,1095717.0
LagunaDeCatemaco,B11,2019,4,6,0,1091664.0
LagunaDeCatemaco,B11,2019,3,2,0,2603883.0
LagunaDeCatemaco,B11,2019,2,20,1,1096339.0
LagunaDeCatemaco,B11,2019,2,15,0,1095926.0
LagunaDeCatemaco,B11,2018,12,27,1,1102116.0
LagunaDeCatemaco,B11,2019,5,21,3,1090212.0
LagunaDeCatemaco,B11,2019,5,11,2,1090551.0
LagunaDeCatemaco,B11,2019,5,6,1,1090422.0
LagunaDeCatemaco,B11,2019,4,16,2,911887.0
LagunaDeCatemaco,B11,2019,4,11,1,1092297.0
LagunaDeCatemaco,B11,2019,5,1,0,1090561.0
LagunaDeCatemaco,B11,2019,4,21,3,1091571.0
LagunaDeCatemaco,B11,2019,6,20,2,1073589.0
LagunaDeCatemaco,B11,2019,6,15,1,3047412.0
LagunaDeCatemaco,B11,2019,6,10,0,1069553.0
LagunaDeCatemaco,B11,2019,5,26,4,1083471.0
LagunaDeCatemaco,B11,2019,8,24,2,1089795.0
LagunaDeCatemaco,B11,2019,8,19,1,1038635.0
LagunaDeCatemaco,B11,2019,8,14,0,1089892.0
LagunaDeCatemaco,B11,2019,7,15,1,943443.0
LagunaDeCatemaco,B11,2019,7,5,0,991129.0
LagunaDeCatemaco,B11,2019,6,25,3,2837497.0
LagunaDeCatemaco,B11,2020,1,1,0,1093418.0
LagunaDeCatemaco,B11,2019,11,27,1,1097604.0
LagunaDeCatemaco,B11,2019,11,22,0,1101871.0
LagunaDeCatemaco,B11,2019,9,18,1,2689111.0
LagunaDeCatemaco,B11,2019,9,8,0,981872.0
LagunaDeCatemaco,B11,2020,3,11,1,2551397.0
LagunaDeCatemaco,B11,2020,3,1,0,1095226.0
LagunaDeCatemaco,B11,2020,2,5,0,1096319.0
LagunaDeCatemaco,B11,2020,1,26,2,1109830.0
LagunaDeCatemaco,B11,2020,1,6,1,2595462.0
LagunaDeCatemaco,B11,2020,4,25,3,1091545.0
LagunaDeCatemaco,B11,2020,4,20,2,1092175.0
LagunaDeCatemaco,B11,2020,4,10,1,1091950.0
LagunaDeCatemaco,B11,2020,4,5,0,1092624.0
LagunaDeCatemaco,B11,2020,3,26,3,1093353.0
LagunaDeCatemaco,B11,2020,3,16,2,1079593.0
LagunaDeCatemaco,B11,2020,6,14,0,994517.0
LagunaDeCatemaco,B11,2020,5,25,4,1064357.0
LagunaDeCatemaco,B11,2020,5,20,3,1033399.0
LagunaDeCatemaco,B11,2020,5,15,2,1091873.0
LagunaDeCatemaco,B11,2020,5,10,1,186867.0
LagunaDeCatemaco,B11,2020,5,5,0,1092362.0
LagunaDeCatemaco,B11,2020,11,26,0,1110408.0
LagunaDeCatemaco,B11,2020,10,22,0,925907.0
LagunaDeCatemaco,B11,2020,9,22,1,922835.0
LagunaDeCatemaco,B11,2020,9,2,0,1095447.0
LagunaDeCatemaco,B11,2020,8,18,0,960232.0
LagunaDeCatemaco,B11,2020,7,24,0,25645.0
LagunaDeCatemaco,B11,2021,3,1,0,1096022.0
LagunaDeCatemaco,B11,2021,2,24,1,106252.0
LagunaDeCatemaco,B11,2021,2,4,0,1097176.0
LagunaDeCatemaco,B11,2021,1,25,0,1097251.0
LagunaDeCatemaco,B11,2020,12,11,0,1097830.0
LagunaDeCatemaco,B11,2021,6,4,0,1004470.0
LagunaDeCatemaco,B11,2021,5,25,1,882794.0
LagunaDeCatemaco,B11,2021,5,10,0,1088202.0
LagunaDeCatemaco,B11,2021,4,10,0,1093396.0
LagunaDeCatemaco,B11,2021,3,26,3,985553.0
LagunaDeCatemaco,B11,2021,3,21,2,1060327.0
LagunaDeCatemaco,B11,2021,3,16,1,1094486.0
LagunaDeCatemaco,B11,2021,8,18,0,1076492.0
LagunaDeCatemaco,B11,2021,7,9,2,1066451.0
LagunaDeCatemaco,B11,2021,7,9,1,1064746.0
LagunaDeCatemaco,B11,2021,7,4,0,1083423.0
LagunaDeCatemaco,B11,2021,11,11,1,1095297.0
LagunaDeCatemaco,B11,2021,11,1,0,2625579.0
LagunaDeCatemaco,B11,2021,10,27,1,1095530.0
LagunaDeCatemaco,B11,2021,10,12,0,2351672.0
