0,1,2,3,4,5,6,7
LagoYuririaGto,sentinel2,B11,2018,12,21,0,855335.0
LagoYuririaGto,sentinel2,B11,2018,12,21,1,654666.0
LagoYuririaGto,sentinel2,B11,2018,12,26,2,710239.0
LagoYuririaGto,sentinel2,B11,2018,12,26,3,476422.0
LagoYuririaGto,sentinel2,B11,2019,1,5,0,715677.0
LagoYuririaGto,sentinel2,B11,2019,1,5,1,484061.0
LagoYuririaGto,sentinel2,B11,2019,1,10,2,743354.0
LagoYuririaGto,sentinel2,B11,2019,1,10,3,494907.0
LagoYuririaGto,sentinel2,B11,2019,1,20,4,736467.0
LagoYuririaGto,sentinel2,B11,2019,1,20,5,490251.0
LagoYuririaGto,sentinel2,B11,2019,1,25,6,464450.0
LagoYuririaGto,sentinel2,B11,2019,1,25,7,316504.0
LagoYuririaGto,sentinel2,B11,2019,2,4,0,773432.0
LagoYuririaGto,sentinel2,B11,2019,2,4,1,491944.0
LagoYuririaGto,sentinel2,B11,2019,2,9,2,750590.0
LagoYuririaGto,sentinel2,B11,2019,2,9,3,497172.0
LagoYuririaGto,sentinel2,B11,2019,2,14,4,724418.0
LagoYuririaGto,sentinel2,B11,2019,2,14,5,480539.0
LagoYuririaGto,sentinel2,B11,2019,2,19,6,742046.0
LagoYuririaGto,sentinel2,B11,2019,2,19,7,472152.0
LagoYuririaGto,sentinel2,B11,2019,2,24,8,767030.0
LagoYuririaGto,sentinel2,B11,2019,2,24,9,487579.0
LagoYuririaGto,sentinel2,B11,2019,3,1,0,2077765.0
LagoYuririaGto,sentinel2,B11,2019,3,1,1,477804.0
LagoYuririaGto,sentinel2,B11,2019,3,6,2,2179815.0
LagoYuririaGto,sentinel2,B11,2019,3,6,3,1770458.0
LagoYuririaGto,sentinel2,B11,2019,3,11,4,731062.0
LagoYuririaGto,sentinel2,B11,2019,3,11,5,483726.0
LagoYuririaGto,sentinel2,B11,2019,3,21,6,766502.0
LagoYuririaGto,sentinel2,B11,2019,3,21,7,507866.0
LagoYuririaGto,sentinel2,B11,2019,3,26,8,753617.0
LagoYuririaGto,sentinel2,B11,2019,3,26,9,499920.0
LagoYuririaGto,sentinel2,B11,2019,4,5,0,436296.0
LagoYuririaGto,sentinel2,B11,2019,4,5,1,307006.0
LagoYuririaGto,sentinel2,B11,2019,4,10,2,821045.0
LagoYuririaGto,sentinel2,B11,2019,4,10,3,544810.0
LagoYuririaGto,sentinel2,B11,2019,4,15,4,874387.0
LagoYuririaGto,sentinel2,B11,2019,4,15,5,562433.0
LagoYuririaGto,sentinel2,B11,2019,4,20,6,784937.0
LagoYuririaGto,sentinel2,B11,2019,4,20,7,518973.0
LagoYuririaGto,sentinel2,B11,2019,5,5,0,855541.0
LagoYuririaGto,sentinel2,B11,2019,5,5,1,559548.0
LagoYuririaGto,sentinel2,B11,2019,5,10,2,705805.0
LagoYuririaGto,sentinel2,B11,2019,5,10,3,456553.0
LagoYuririaGto,sentinel2,B11,2019,5,15,4,2105411.0
LagoYuririaGto,sentinel2,B11,2019,5,15,5,517807.0
LagoYuririaGto,sentinel2,B11,2019,5,20,6,800857.0
LagoYuririaGto,sentinel2,B11,2019,5,20,7,511495.0
LagoYuririaGto,sentinel2,B11,2019,5,25,8,2113883.0
LagoYuririaGto,sentinel2,B11,2019,5,25,9,496593.0
LagoYuririaGto,sentinel2,B11,2019,6,9,0,2159681.0
LagoYuririaGto,sentinel2,B11,2019,6,9,1,497468.0
LagoYuririaGto,sentinel2,B11,2019,6,14,2,829875.0
LagoYuririaGto,sentinel2,B11,2019,6,14,3,547866.0
LagoYuririaGto,sentinel2,B11,2019,6,19,4,1982800.0
LagoYuririaGto,sentinel2,B11,2019,6,19,5,537858.0
LagoYuririaGto,sentinel2,B11,2019,7,4,0,490112.0
LagoYuririaGto,sentinel2,B11,2019,7,9,1,814933.0
LagoYuririaGto,sentinel2,B11,2019,7,9,2,537136.0
LagoYuririaGto,sentinel2,B11,2019,7,14,3,804156.0
LagoYuririaGto,sentinel2,B11,2019,7,14,4,529080.0
LagoYuririaGto,sentinel2,B11,2019,8,3,0,824517.0
LagoYuririaGto,sentinel2,B11,2019,8,3,1,543595.0
LagoYuririaGto,sentinel2,B11,2019,8,13,2,1995395.0
LagoYuririaGto,sentinel2,B11,2019,8,13,3,584416.0
LagoYuririaGto,sentinel2,B11,2019,8,18,4,867448.0
LagoYuririaGto,sentinel2,B11,2019,8,18,5,574239.0
LagoYuririaGto,sentinel2,B11,2019,9,2,0,847957.0
LagoYuririaGto,sentinel2,B11,2019,9,2,1,571745.0
LagoYuririaGto,sentinel2,B11,2019,9,7,2,823560.0
LagoYuririaGto,sentinel2,B11,2019,9,7,3,547826.0
LagoYuririaGto,sentinel2,B11,2019,9,17,4,825370.0
LagoYuririaGto,sentinel2,B11,2019,9,17,5,545982.0
LagoYuririaGto,sentinel2,B11,2019,9,22,6,812032.0
LagoYuririaGto,sentinel2,B11,2019,9,22,7,540536.0
LagoYuririaGto,sentinel2,B11,2019,9,27,8,1927411.0
LagoYuririaGto,sentinel2,B11,2019,9,27,9,572493.0
LagoYuririaGto,sentinel2,B11,2019,10,2,0,824695.0
LagoYuririaGto,sentinel2,B11,2019,10,2,1,545997.0
LagoYuririaGto,sentinel2,B11,2019,10,7,2,740923.0
LagoYuririaGto,sentinel2,B11,2019,10,7,3,492838.0
LagoYuririaGto,sentinel2,B11,2019,11,1,0,846588.0
LagoYuririaGto,sentinel2,B11,2019,11,1,1,559202.0
LagoYuririaGto,sentinel2,B11,2019,11,6,2,878265.0
LagoYuririaGto,sentinel2,B11,2019,11,6,3,1633509.0
LagoYuririaGto,sentinel2,B11,2019,11,11,4,853190.0
LagoYuririaGto,sentinel2,B11,2019,11,11,5,562618.0
LagoYuririaGto,sentinel2,B11,2019,11,21,6,847768.0
LagoYuririaGto,sentinel2,B11,2019,11,21,7,559047.0
LagoYuririaGto,sentinel2,B11,2019,12,1,0,850805.0
LagoYuririaGto,sentinel2,B11,2019,12,1,1,562875.0
LagoYuririaGto,sentinel2,B11,2019,12,6,2,871704.0
LagoYuririaGto,sentinel2,B11,2019,12,6,3,575934.0
LagoYuririaGto,sentinel2,B11,2019,12,11,4,893712.0
LagoYuririaGto,sentinel2,B11,2019,12,11,5,587272.0
LagoYuririaGto,sentinel2,B11,2019,12,16,6,857328.0
LagoYuririaGto,sentinel2,B11,2019,12,16,7,566014.0
LagoYuririaGto,sentinel2,B11,2019,12,26,8,845624.0
LagoYuririaGto,sentinel2,B11,2019,12,26,9,556937.0
LagoYuririaGto,sentinel2,B11,2020,1,5,0,2044167.0
LagoYuririaGto,sentinel2,B11,2020,1,5,1,572185.0
LagoYuririaGto,sentinel2,B11,2020,1,10,2,2035189.0
LagoYuririaGto,sentinel2,B11,2020,1,10,3,568791.0
LagoYuririaGto,sentinel2,B11,2020,1,15,4,924075.0
LagoYuririaGto,sentinel2,B11,2020,1,15,5,1517309.0
LagoYuririaGto,sentinel2,B11,2020,1,20,6,1882865.0
LagoYuririaGto,sentinel2,B11,2020,1,20,7,556473.0
LagoYuririaGto,sentinel2,B11,2020,2,9,0,855244.0
LagoYuririaGto,sentinel2,B11,2020,2,9,1,544988.0
LagoYuririaGto,sentinel2,B11,2020,2,14,2,2040497.0
LagoYuririaGto,sentinel2,B11,2020,2,14,3,571690.0
LagoYuririaGto,sentinel2,B11,2020,2,19,4,885470.0
LagoYuririaGto,sentinel2,B11,2020,2,19,5,584607.0
LagoYuririaGto,sentinel2,B11,2020,2,24,6,863399.0
