0,1,2,3,4,5,6
LagoDeChapala,B11,2018,12,24,1,232939.0
LagoDeChapala,B11,2018,12,24,0,503550.0
LagoDeChapala,B11,2019,1,8,3,231151.0
LagoDeChapala,B11,2019,1,8,2,638352.0
LagoDeChapala,B11,2019,1,3,1,230611.0
LagoDeChapala,B11,2019,1,3,0,636473.0
LagoDeChapala,B11,2019,1,23,9,233198.0
LagoDeChapala,B11,2019,1,18,7,479655.0
LagoDeChapala,B11,2019,1,18,6,163182.0
LagoDeChapala,B11,2019,1,13,5,234061.0
LagoDeChapala,B11,2019,1,13,4,3027618.0
LagoDeChapala,B11,2019,2,7,2,636252.0
LagoDeChapala,B11,2019,2,2,1,229888.0
LagoDeChapala,B11,2019,2,2,0,635981.0
LagoDeChapala,B11,2019,1,23,8,636451.0
LagoDeChapala,B11,2019,2,27,10,229802.0
LagoDeChapala,B11,2019,2,27,9,635760.0
LagoDeChapala,B11,2019,2,22,8,626645.0
LagoDeChapala,B11,2019,2,17,7,230001.0
LagoDeChapala,B11,2019,2,17,6,636957.0
LagoDeChapala,B11,2019,2,12,5,229449.0
LagoDeChapala,B11,2019,2,12,4,602231.0
LagoDeChapala,B11,2019,2,7,3,230071.0
LagoDeChapala,B11,2019,3,14,5,228820.0
LagoDeChapala,B11,2019,3,14,4,634733.0
LagoDeChapala,B11,2019,3,9,3,230115.0
LagoDeChapala,B11,2019,3,9,2,636269.0
LagoDeChapala,B11,2019,3,4,1,228899.0
LagoDeChapala,B11,2019,3,4,0,635679.0
LagoDeChapala,B11,2019,3,24,9,232783.0
LagoDeChapala,B11,2019,3,24,8,3208964.0
LagoDeChapala,B11,2019,3,19,7,233514.0
LagoDeChapala,B11,2019,3,19,6,635782.0
LagoDeChapala,B11,2019,4,8,3,219190.0
LagoDeChapala,B11,2019,4,8,2,628059.0
LagoDeChapala,B11,2019,4,3,1,230378.0
LagoDeChapala,B11,2019,4,3,0,636886.0
LagoDeChapala,B11,2019,4,23,9,24019.0
LagoDeChapala,B11,2019,4,23,8,30322.0
LagoDeChapala,B11,2019,4,18,7,176207.0
LagoDeChapala,B11,2019,4,18,6,570898.0
LagoDeChapala,B11,2019,4,13,5,227957.0
LagoDeChapala,B11,2019,4,13,4,632839.0
LagoDeChapala,B11,2019,5,18,7,40783.0
LagoDeChapala,B11,2019,5,18,6,21634.0
LagoDeChapala,B11,2019,5,13,5,24167.0
LagoDeChapala,B11,2019,5,13,4,21594.0
LagoDeChapala,B11,2019,5,8,3,24155.0
LagoDeChapala,B11,2019,5,8,2,474357.0
LagoDeChapala,B11,2019,5,3,1,130202.0
LagoDeChapala,B11,2019,5,3,0,230687.0
LagoDeChapala,B11,2019,6,12,2,246118.0
LagoDeChapala,B11,2019,6,7,1,230100.0
LagoDeChapala,B11,2019,6,2,0,596745.0
LagoDeChapala,B11,2019,5,23,9,24004.0
LagoDeChapala,B11,2019,5,23,8,573027.0
LagoDeChapala,B11,2019,6,22,7,159340.0
LagoDeChapala,B11,2019,6,22,6,324957.0
LagoDeChapala,B11,2019,6,17,5,202538.0
LagoDeChapala,B11,2019,6,17,4,502605.0
LagoDeChapala,B11,2019,6,12,3,134926.0
LagoDeChapala,B11,2019,7,17,3,229309.0
LagoDeChapala,B11,2019,7,7,2,249000.0
